itr,mu,sigma
1,8.0,0.0
2,4.5,12.25
3,3.6666666666666665,9.555555555555557
4,3.0,8.5
5,2.6,7.439999999999999
6,2.3333333333333335,6.5555555555555545
7,2.142857142857143,5.836734693877552
8,2.0,5.25
9,2.0,4.666666666666666
10,2.0,4.199999999999999
11,1.9090909090909092,3.9008264462809916
12,2.0,3.666666666666667
13,1.9230769230769231,3.4556213017751483
14,1.9285714285714286,3.2091836734693877
15,1.8666666666666667,3.0488888888888885
16,1.9375,2.93359375
17,1.8823529411764706,2.8096885813148784
18,1.8333333333333333,2.6944444444444446
19,1.7894736842105263,2.587257617728532
20,1.75,2.4875
21,1.7142857142857142,2.3945578231292517
22,1.6818181818181819,2.3078512396694215
23,1.6521739130434783,2.226843100189036
24,1.625,2.151041666666667
25,1.64,2.0704000000000002
26,1.6923076923076923,2.0591715976331364
27,1.7037037037037037,1.986282578875172
28,1.6785714285714286,1.9323979591836733
29,1.6551724137931034,1.8810939357907253
30,1.6333333333333333,1.8322222222222222
31,1.6129032258064515,1.785639958376691
32,1.59375,1.7412109375
33,1.6363636363636365,1.7465564738292003
34,1.6176470588235294,1.70674740484429
35,1.6,1.6685714285714282
36,1.5833333333333333,1.631944444444445
37,1.5675675675675675,1.5967859751643538
38,1.605263157894737,1.6073407202216061
39,1.6923076923076923,1.854043392504931
40,1.675,1.819375
41,1.6585365853658536,1.7858417608566328
42,1.6428571428571428,1.7534013605442174
43,1.627906976744186,1.7220118983234176
44,1.6136363636363635,1.6916322314049594
45,1.6,1.6622222222222227
46,1.5869565217391304,1.6337429111531203
47,1.574468085106383,1.6061566319601641
48,1.5625,1.5794270833333348
49,1.5510204081632653,1.553519366930447
50,1.54,1.5284000000000013
51,1.5294117647058822,1.5040369088812007
52,1.5192307692307692,1.480399408284025
53,1.509433962264151,1.4574581701673202
54,1.5,1.4351851851851865
55,1.490909090909091,1.4135537190082657
56,1.4821428571428572,1.3925382653061233
57,1.4912280701754386,1.3727300707910137
58,1.4827586206896552,1.3531510107015468
59,1.4745762711864407,1.3340993967250796
60,1.4666666666666666,1.315555555555557
61,1.4918032786885247,1.331900026874497
62,1.4838709677419355,1.314255983350677
63,1.492063492063492,1.2975560594608222
64,1.484375,1.2810058593750009
65,1.4923076923076923,1.265325443786983
66,1.5,1.2500000000000009
67,1.507462686567164,1.2350189351748733
68,1.5147058823529411,1.2203719723183402
69,1.5217391304347827,1.2060491493383751
70,1.5142857142857142,1.1926530612244908
71,1.5070422535211268,1.1795278714540771
72,1.5,1.1666666666666674
73,1.5205479452054795,1.1810846312629013
74,1.527027027027027,1.1681884587290003
75,1.52,1.1562666666666672
76,1.5526315789473684,1.2209141274238235
77,1.5584415584415585,1.2076235452858834
78,1.5512820512820513,1.1960880999342542
79,1.5443037974683544,1.1847460342893776
80,1.5625,1.1960937500000006
81,1.691358024691358,2.509678402682519
82,1.6951219512195121,2.4802201070791203
83,1.6867469879518073,2.456089417912615
84,1.6904761904761905,2.428004535147394
85,1.6941176470588235,2.400553633217995
86,1.686046511627907,2.3781773931855077
87,1.6781609195402298,2.3561897212313405
88,1.7272727272727273,2.539256198347109
89,1.752808988764045,2.568110087110214
90,1.7444444444444445,2.5458024691358028
91,1.7472527472527473,2.5185364086462996
92,1.7391304347826086,2.4971644612476376
93,1.7634408602150538,2.524684934674529
94,1.7553191489361701,2.5039610683567224
95,1.8736842105263158,3.794570637119113
96,1.8958333333333333,3.8016493055555554
97,1.907216494845361,3.7748963758103944
98,1.8979591836734695,3.7446897126197416
99,1.9090909090909092,3.719008264462809
100,1.9,3.69
101,1.891089108910891,3.66140574453485
102,1.911764705882353,3.668685121107266
103,1.9029126213592233,3.6410594778018663
104,1.9038461538461537,3.6061390532544384
105,1.8952380952380952,3.5795011337868488
106,1.8867924528301887,3.553221787112852
107,1.8878504672897196,3.520132762686697
108,1.9166666666666667,3.5763888888888884
109,1.908256880733945,3.5512162275902703
110,1.9090909090909092,3.51900826446281
111,1.9009009009009008,3.4946838730622516
112,1.9196428571428572,3.502471301020408
113,1.9115044247787611,3.478894196883076
114,1.9035087719298245,3.4556017236072636
115,1.8956521739130434,3.432589792060492
116,1.8879310344827587,3.4098543400713437
117,1.8803418803418803,3.3873913361092853
118,1.88135593220339,3.3588049411088767
119,1.8739495798319328,3.3370524680460414
120,1.8666666666666667,3.315555555555555
121,1.859504132231405,3.2943104979168094
122,1.860655737704918,3.2674684224670787
123,1.910569105691057,3.5448476435983873
124,1.903225806451613,3.5228928199791882
125,1.896,3.5011840000000003
126,1.8888888888888888,3.4797178130511464
127,1.889763779527559,3.45241490482981
128,1.8828125,3.43157958984375
129,1.8914728682170543,3.414578450814254
130,1.9,3.397692307692308
131,1.900763358778626,3.3718314783520777
132,1.893939393939394,3.3523875114784203
133,1.887218045112782,3.333144892305952
134,1.8805970149253732,3.314101136110492
135,1.8888888888888888,3.298765432098765
136,1.8970588235294117,3.2835207612456756
137,1.8905109489051095,3.265384410464063
138,1.8840579710144927,3.2474270111321153
139,1.8776978417266188,3.229646498628435
140,1.8857142857142857,3.2155102040816326
141,1.8794326241134751,3.1982294653186463
142,1.8732394366197183,3.1811148581630633
143,1.881118881118881,3.167685461391756
144,1.875,3.151041666666667
145,1.8689655172413793,3.134554102259215
146,1.8630136986301369,3.1182210546068685
147,1.870748299319728,3.105742977463094
148,1.8918918918918919,3.150474799123448
149,1.8859060402684564,3.134633575064186
150,1.88,3.1189333333333336
151,1.8741721854304636,3.1033726590938997
152,1.868421052631579,3.0879501385041546
153,1.8627450980392157,3.0726643598615904
154,1.8571428571428572,3.057513914656771
155,1.864516129032258,3.046160249739853
156,1.8653846153846154,3.026750493096646
157,1.8789808917197452,3.036309789443791
158,1.8734177215189873,3.0219516103188595
159,1.8742138364779874,3.003045765594716
160,1.86875,2.9890234375000007
161,1.8633540372670807,2.9751167007445702
162,1.8580246913580247,2.961324493217497
163,1.852760736196319,2.947645752568783
164,1.8597560975609757,2.937648720999405
165,1.8727272727272728,2.947438016528925
166,1.8674698795180722,2.934242996080709
167,1.8622754491017963,2.9211517085589307
168,1.8571428571428572,2.908163265306122
169,1.8520710059171597,2.8952767760232483
170,1.8470588235294119,2.8824913494809685
171,1.8421052631578947,2.869806094182826
172,1.8546511627906976,2.8800365062195783
173,1.8497109826589595,2.8675866216712893
174,1.8448275862068966,2.8552318668252084
175,1.84,2.8429714285714285
176,1.8579545454545454,2.883232179752066
177,1.8531073446327684,2.8710779150308023
178,1.853932584269663,2.8550688044438832
179,1.8547486033519553,2.8392372273025184
180,1.8555555555555556,2.82358024691358
181,1.850828729281768,2.812002075638717
182,1.8516483516483517,2.7966731071126674
183,1.8469945355191257,2.785332497237899
184,1.8423913043478262,2.774072542533081
185,1.837837837837838,2.7628926223520818
186,1.8387096774193548,2.7481789802289285
187,1.839572192513369,2.7336212073550854
188,1.8457446808510638,2.72620529651426
189,1.8465608465608465,2.7119061616416116
190,1.8421052631578947,2.7013850415512466
191,1.837696335078534,2.6909350072640548
192,1.8333333333333333,2.6805555555555562
193,1.8290155440414508,2.670246181105533
194,1.824742268041237,2.6600063768732065
195,1.8205128205128205,2.649835634451019
196,1.816326530612245,2.6397334443981673
197,1.8121827411167513,2.6296992965549224
198,1.8080808080808082,2.619732680338741
199,1.8040201005025125,2.6098330850231055
200,1.8,2.5999999999999996
201,1.8059701492537314,2.594193213039281
202,1.801980198019802,2.5845505342613464
203,1.8029556650246306,2.5720109684777595
204,1.7990196078431373,2.5625480584390616
205,1.7951219512195122,2.553146936347412
206,1.796116504854369,2.5409557922518613
207,1.7922705314009661,2.531727694928703
208,1.7884615384615385,2.5225591715976323
209,1.784688995215311,2.513449783658799
210,1.7809523809523808,2.504399092970522
211,1.7772511848341233,2.495406662024662
212,1.7830188679245282,2.490655037379851
213,1.7934272300469483,2.5019286296810606
214,1.7897196261682242,2.4931653419512627
215,1.841860465116279,3.0633639805300157
216,1.8518518518518519,3.0706447187928667
217,1.8617511520737327,3.0776614495954466
218,1.8577981651376148,3.0669346014645233
219,1.8630136986301369,3.058860324013261
220,1.8681818181818182,3.050805785123967
221,1.8733031674208145,3.0427714420261665
222,1.8693693693693694,3.0324851878905936
223,1.8699551569506727,3.0189627782581594
224,1.8660714285714286,3.0088488520408165
225,1.8666666666666667,2.9955555555555557
226,1.8716814159292035,2.987959119743128
227,1.86784140969163,2.9781288206640912
228,1.8640350877192982,2.9683556478916593
229,1.8602620087336244,2.9586392326614677
230,1.8565217391304347,2.9489792060491493
231,1.87012987012987,2.9788047450385116
232,1.8663793103448276,2.9692144768133173
233,1.8669527896995708,2.9565473668699
234,1.8632478632478633,2.9471108189056907
235,1.8638297872340426,2.9346491625169757
236,1.8644067796610169,2.9222924446997993
237,1.8649789029535866,2.9100393455464753
238,1.865546218487395,2.8978885671915826
239,1.8619246861924685,2.888884998511931
240,1.8583333333333334,2.879930555555555
241,1.8547717842323652,2.871024947917563
