b,mu,sigma
1,1.9948,3.0055729600000003
2,3.957,5.894951
3,5.9858,8.881398359999999
4,7.9759,12.031319190000001
5,9.9683,15.012495109999998
6,12.0002,18.010599960000004
7,14.0311,21.39273279
8,16.027,24.193871
9,18.0416,26.824869440000004
10,19.8744,29.47922464
11,22.053,33.273791
12,23.9484,36.531337439999994
13,25.9802,39.20620795999999
14,27.9892,42.45008336
15,29.9446,44.80993084
16,32.0309,47.24274519
17,34.0908,51.90035536
18,35.9449,54.173063989999996
19,38.0585,56.64587775
20,40.1299,59.60362599
21,41.9411,62.82383079
22,44.1885,68.21256775
23,46.0357,70.06502551
24,48.022,71.75651599999999
25,49.9888,74.31067456
26,52.1398,77.22905596
27,53.9705,81.88562975
28,55.9902,81.11570396
29,57.7716,86.76063344
30,59.9326,90.86205724
31,61.9145,91.81018974999999
32,63.9641,98.41621118999998
33,65.9675,94.60104374999999
34,68.0352,102.24636096
35,69.8928,106.40830815999999
36,72.0653,106.98403591
37,73.9428,110.36552815999998
38,76.0293,114.79884151000002
39,77.8551,117.59150399000002
40,79.8258,120.55965436
41,82.0341,122.17633719000001
42,83.9226,124.40620924000002
43,86.0327,131.27503070999998
44,87.8606,133.65196764
45,89.9128,134.58659615999997
46,91.8667,134.88213111000002
47,93.9996,140.45579984
48,96.0626,145.62708124
49,97.9088,145.60008256
50,100.1031,147.72147039
51,102.057,154.603551
52,104.1429,156.59827959
53,105.867,159.817311
54,107.949,163.878799
55,110.0601,167.69208799
56,111.9839,166.01004079000003
57,113.9824,171.15649023999998
58,115.9513,171.15072830999998
59,118.0744,175.85706464
60,119.9139,179.56848678999998
61,122.3084,181.46888944
62,124.2732,182.92436176
63,126.1391,190.53195118999997
64,128.0356,187.41813264
65,129.8995,195.32599975000002
66,131.9616,196.86692544
67,134.0408,200.17413535999995
68,136.1685,204.65510774999996
69,138.1376,200.85986624
70,140.1854,214.41902684
71,142.1564,220.04153904
72,144.0048,222.43617696
73,145.8621,215.85228359000004
74,147.8582,222.93849276
75,150.0185,220.14415775
76,152.3592,227.97617535999998
77,154.1336,233.37655103999995
78,155.9027,233.00543270999998
79,158.0516,236.43733744000002
80,160.0966,244.64406843999996
81,161.8576,244.91472224000003
82,164.2538,248.63598556
83,165.7761,243.06036879
84,167.9134,250.39810044
85,170.0975,253.18779375
86,172.161,251.756279
87,173.8624,255.17626624
88,176.0508,261.92901936
89,178.0283,263.42109911
90,180.142,269.096236
91,181.8637,271.93172231
92,184.0935,278.13735775
93,186.2595,284.83075975
94,187.6859,277.50604119
95,190.1322,284.13732316000005
96,192.0664,282.13159104000005
97,194.0163,286.10463431
98,196.1103,290.95133391
99,197.6388,296.14973456000007
100,200.1719,298.20555039
