p,mu,sigma
0.505,110.4417,806413.14480111
0.51,47.4127,61300.922978710005
0.515,33.8742,19416.63917436
0.52,24.7834,8152.17268444
0.525,20.9607,5566.570555510001
0.53,16.9875,2685.70634375
0.535,13.526,1220.560724
0.54,12.9821,1095.7947795900002
0.545,11.1485,749.2674477499999
0.55,10.4518,590.97227676
0.555,8.9318,342.02254876
0.56,8.4315,288.26730775
0.565,7.7095,227.01630975
0.5700000000000001,7.0905,166.98410974999996
0.575,6.8149,156.87203799
0.58,6.3709,114.43433318999999
0.585,5.9449,107.94066399
0.59,5.5833,88.03266110999999
0.595,5.1817,67.87508511000001
0.6,5.0526,58.84103324000001
0.605,4.8145,52.703889749999995
0.61,4.5438,43.035481559999994
0.615,4.4045,41.679679750000005
0.62,4.2196,35.53857583999999
0.625,4.0839,30.33806079
0.63,3.7922,26.81261916
0.635,3.7986,25.56443804
0.64,3.6008,21.53443936
0.645,3.4378,18.41293116
0.65,3.3471,17.88122159
0.655,3.2,14.977200000000003
0.66,3.0956,12.663260639999999
0.665,3.0315,12.943507750000002
0.67,2.9081,10.80385439
0.675,2.8135,9.851917749999998
0.6799999999999999,2.7362,9.24240956
0.685,2.666,8.111844
0.69,2.5984,7.628317440000002
0.6950000000000001,2.5394,6.899247640000001
0.7,2.5263,6.4263083100000005
0.705,2.417,5.9391110000000005
0.71,2.3887,5.79961231
0.715,2.3195,4.68321975
0.72,2.2571,4.59939959
0.725,2.2315,4.18930775
0.73,2.1886,4.33983004
0.735,2.1366,3.74674044
0.74,2.0875,3.45144375
0.745,2.0352,3.1789609600000004
0.75,2.0132,3.0956257600000003
0.755,1.9576,2.79860224
0.76,1.9236,2.55796304
0.765,1.9106,2.52580764
0.77,1.8221,2.13565159
0.775,1.8077,2.0649207099999995
0.78,1.7793,1.85039151
0.7849999999999999,1.7226,1.6822492400000002
0.79,1.729,1.7553590000000003
0.7949999999999999,1.6868,1.51530576
0.8,1.6686,1.4755740400000001
0.8049999999999999,1.6256,1.29862464
0.81,1.6212,1.35271056
0.815,1.5801,1.24838399
0.8200000000000001,1.5577,1.1166707100000002
0.825,1.5458,1.0217023600000001
0.8300000000000001,1.5273,1.04945471
0.835,1.5,0.8952
0.8400000000000001,1.4764,0.8550430400000001
0.845,1.4464,0.7877270399999999
0.85,1.4365,0.7701677499999999
0.855,1.398,0.659796
0.86,1.3866,0.63114044
0.865,1.3669,0.59708439
0.87,1.3431,0.55978239
0.875,1.3428,0.55768816
0.88,1.3201,0.48283599000000005
0.885,1.3026,0.4522332399999999
0.89,1.2893,0.43020550999999996
0.895,1.2713,0.38349631
0.9,1.2571,0.36599959
0.905,1.2389,0.32962679
0.9099999999999999,1.217,0.292911
0.915,1.2008,0.26907936000000005
0.9199999999999999,1.1904,0.25074784000000006
0.925,1.1749,0.23510999000000002
0.9299999999999999,1.1631,0.21449839
0.935,1.1452,0.18331696
0.94,1.1308,0.15689136
0.9450000000000001,1.122,0.14491600000000004
0.95,1.1148,0.13662095999999999
0.9550000000000001,1.1051,0.12005398999999997
0.96,1.0915,0.10012774999999999
0.9650000000000001,1.0697,0.07804191
0.97,1.0647,0.07031391000000001
0.975,1.0525,0.05634375
0.98,1.0392,0.04146336
0.985,1.0291,0.03145318999999999
0.99,1.0179,0.018379590000000008
0.995,1.0104,0.01089184
1.0,1.0,0.0
